N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
4000000,783,5594,14700000,4369568.0,560653056,3.1548489607779127,3.0600175857543945,isoflop,3.0594958782897628,train,3.001995895034265e-05,1.4536180592010492e-08
4000000,783,5594,14700000,4369568.0,560653056,3.1548489607779127,3.0600175857543945,isoflop,3.0594958782897628,train,3.001995895034265e-05,1.4536180592010492e-08
4000000,1434,12258,59000000,4369568.0,2249980416,3.075259570814984,2.9406659603118896,isoflop,2.938264476053034,train,4.425323815669663e-05,3.3372818757069263e-07
8000000,183,847,920000,7723008.0,19840128,3.581242502886992,3.763655185699463,isoflop,3.7641389177453695,train,4.918080100762662e-05,8.258558532859354e-09
8000000,183,847,920000,7723008.0,19840128,3.581242502886992,3.763655185699463,isoflop,3.7641389177453695,train,4.918080100762662e-05,8.258558532859354e-09
8000000,334,1856,3680000,7723008.0,79347712,3.249315332847405,3.3205113410949707,isoflop,3.2838862796850994,train,2.1174482138788198e-05,1.059122707799881e-05
8000000,334,1856,3680000,7723008.0,79347712,3.249315332847405,3.3205113410949707,isoflop,3.2838862796850994,train,2.1174482138788198e-05,1.059122707799881e-05
8000000,611,4057,14700000,7723008.0,317289856,3.03421365278204,3.011070251464844,isoflop,3.012810717106404,train,7.156717120132716e-06,1.6695835811043037e-07
8000000,611,4057,14700000,7723008.0,317289856,3.03421365278204,3.011070251464844,isoflop,3.012810717106404,train,7.156717120132716e-06,1.6695835811043037e-07
8000000,1119,8890,59000000,7723008.0,1273332480,2.910234885345392,2.840320348739624,isoflop,2.859486605080769,train,2.3816949875744508e-05,6.225255341343272e-06
8000000,2046,19444,236000000,7723008.0,5092150272,2.8589713345768395,2.747063398361206,isoflop,2.773221394169088,mid,3.942940093537522e-05,8.977116697420796e-06
16000000,134,565,920000,15877200.0,9690880,3.758825803956311,3.893961191177368,isoflop,4.019343268033785,train,3.482031813890546e-05,3.119158253708204e-05
16000000,134,565,920000,15877200.0,9690880,3.758825803956311,3.893961191177368,isoflop,4.019343268033785,train,3.482031813890546e-05,3.119158253708204e-05
16000000,244,1237,3680000,15877200.0,38633984,3.3017703285969624,3.373067617416382,isoflop,3.3750220027347924,train,2.086381470943882e-05,1.677601166629106e-07
16000000,244,1237,3680000,15877200.0,38633984,3.3017703285969624,3.373067617416382,isoflop,3.3750220027347924,train,2.086381470943882e-05,1.677601166629106e-07
16000000,446,2705,14700000,15877200.0,154423040,2.9966979696359086,3.008141040802002,isoflop,3.010319264750954,train,3.311287862324209e-06,2.619776788537956e-07
16000000,446,2705,14700000,15877200.0,154423040,2.9966979696359086,3.008141040802002,isoflop,3.010319264750954,train,3.311287862324209e-06,2.619776788537956e-07
16000000,818,5918,59000000,15877200.0,619638272,2.8054915586336966,2.7724592685699463,isoflop,2.8039727383262725,train,1.1344018434635561e-05,1.0802497795895761e-05
16000000,1495,12943,236000000,15877200.0,2476772480,2.7052713710480987,2.638253927230835,isoflop,2.6878905698093947,mid,2.458492213847635e-05,1.8139404053680363e-05
16000000,2734,28318,944000000,15877200.0,9909940736,2.666869143623181,2.562262296676636,isoflop,2.622312875178536,mid,3.951460109866062e-05,2.266612725113365e-05
32000000,185,862,3680000,29987232.0,20412160,3.4494989174332407,3.523257255554199,isoflop,3.5390419947125222,train,2.0656939251948614e-05,3.970149135140877e-06
32000000,185,862,3680000,29987232.0,20412160,3.4494989174332407,3.523257255554199,isoflop,3.5390419947125222,train,2.0656939251948614e-05,3.970149135140877e-06
